,stringency_index,government_response_index,containment_health_index,economic_support_index,c1_school_closing,c2_workplace_closing,c3_cancel_public_events,c4_restrictions_on_gatherings,c5_close_public_transport,c6_stay_at_home_requirements,c7_movementrestrictions,c8_internationaltravel,e1_income_support,e2_debtrelief,h1_public_information_campaigns,h2_testing_policy,h3_contact_tracing,h6_facial_coverings,h7_vaccination_policy,h8_protection_of_elderly_people
15/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
16/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
17/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
18/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
19/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
20/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
21/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
22/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
23/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
24/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
25/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
26/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
27/2/20,19.44,10.94,12.5,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
28/2/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
29/2/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
1/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
2/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
3/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
4/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
5/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
6/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
7/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
8/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
9/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
10/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
11/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
12/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
13/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
14/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
15/3/20,19.44,19.27,22.02,0,0,0,0,0,0,0,0,3,0,0,2,1,2,0,0,0
16/3/20,36.11,28.65,32.74,0,0,0,2,2,0,0,0,3,0,0,2,1,2,0,0,0
17/3/20,36.11,33.33,32.74,37.5,0,0,2,2,0,0,0,3,2,0,2,1,2,0,0,0
18/3/20,36.11,33.33,32.74,37.5,0,0,2,2,0,0,0,3,2,0,2,1,2,0,0,0
19/3/20,36.11,33.33,32.74,37.5,0,0,2,2,0,0,0,3,2,0,2,1,2,0,0,0
