Date,Total Doses,per 100 people,New Doses,Reported Doses,Vaccinated,Vaccinated%,Completed Vaccination,Completed%
"Dec 31, 2021","11,679,603",214.16,"29,227","11,679,603","4,758,643",87.26%,"4,713,597",86.43%
"Dec 30, 2021","11,650,376",213.63,"52,658","11,650,376","4,755,032",87.19%,"4,711,967",86.40%
"Dec 29, 2021","11,597,718",212.66,"52,329","11,597,718","4,748,851",87.08%,"4,708,899",86.34%
"Dec 28, 2021","11,545,389",211.7,"53,543","11,545,389","4,743,002",86.97%,"4,706,125",86.29%
"Dec 27, 2021","11,491,846",210.72,"48,552","11,491,846","4,738,882",86.89%,"4,703,068",86.24%
"Dec 26, 2021","11,443,294",209.83,"45,538","11,443,294","4,734,811",86.82%,"4,699,687",86.18%
"Dec 25, 2021","11,397,756",209,612,"11,397,756","4,734,228",86.81%,"4,697,683",86.14%
"Dec 24, 2021","11,397,144",208.98,"24,757","11,397,144","4,734,199",86.81%,"4,697,441",86.13%
"Dec 23, 2021","11,372,387",208.53,"38,874","11,372,387","4,733,865",86.80%,"4,695,997",86.11%
"Dec 22, 2021","11,333,513",207.82,"35,892","11,333,513","4,733,199",86.79%,"4,693,543",86.06%
"Dec 21, 2021","11,297,621",207.16,"33,543","11,297,621","4,732,528",86.78%,"4,690,986",86.02%
"Dec 20, 2021","11,264,078",206.54,"32,571","11,264,078","4,731,856",86.77%,"4,688,328",85.97%
"Dec 19, 2021","11,231,507",205.95,"21,627","11,231,507","4,731,071",86.75%,"4,685,278",85.91%
"Dec 18, 2021","11,209,880",205.55,"27,975","11,209,880","4,730,641",86.74%,"4,683,728",85.88%
"Dec 17, 2021","11,181,905",205.04,"30,323","11,181,905","4,730,107",86.73%,"4,681,344",85.84%
"Dec 16, 2021","11,151,582",204.48,"25,453","11,151,582","4,729,418",86.72%,"4,677,874",85.78%
"Dec 15, 2021","11,126,129",204.01,"23,708","11,126,129","4,728,701",86.71%,"4,674,772",85.72%
"Dec 14, 2021","11,102,421",203.58,"29,522","11,102,421","4,728,024",86.70%,"4,671,738",85.66%
"Dec 13, 2021","11,072,899",203.04,"21,013","11,072,899","4,727,265",86.68%,"4,668,771",85.61%
"Dec 12, 2021","11,051,886",202.65,"16,730","11,051,886","4,726,480",86.67%,"4,665,415",85.55%
"Dec 11, 2021","11,035,156",202.35,"25,347","11,035,156","4,726,006",86.66%,"4,663,546",85.51%
"Dec 10, 2021","11,009,809",201.88,"28,311","11,009,809","4,725,369",86.65%,"4,660,600",85.46%
"Dec 9, 2021","10,981,498",201.36,"18,525","10,981,498","4,724,469",86.63%,"4,656,686",85.39%
"Dec 8, 2021","10,962,973",201.02,"20,147","10,962,973","4,723,561",86.61%,"4,653,323",85.33%
"Dec 7, 2021","10,942,826",200.65,"24,270","10,942,826","4,722,565",86.60%,"4,649,822",85.26%
"Dec 6, 2021","10,918,556",200.21,"21,067","10,918,556","4,721,552",86.58%,"4,646,178",85.19%
"Dec 5, 2021","10,897,489",199.82,"17,499","10,897,489","4,720,449",86.56%,"4,642,134",85.12%
"Dec 4, 2021","10,879,990",199.5,"25,653","10,879,990","4,719,839",86.55%,"4,640,083",85.08%
"Dec 3, 2021","10,854,337",199.03,"28,331","10,854,337","4,719,035",86.53%,"4,636,625",85.02%
"Dec 2, 2021","10,826,006",198.51,"17,630","10,826,006","4,717,851",86.51%,"4,632,373",84.94%
"Dec 1, 2021","10,808,376",198.19,"18,336","10,808,376","4,716,750",86.49%,"4,629,501",84.89%
"Nov 30, 2021","10,790,040",197.85,"26,183","10,790,040","4,715,760",86.47%,"4,626,970",84.84%
"Nov 29, 2021","10,763,857",197.37,"19,159","10,763,857","4,714,658",86.45%,"4,624,023",84.79%
"Nov 28, 2021","10,744,698",197.02,"16,600","10,744,698","4,713,491",86.43%,"4,621,173",84.74%
"Nov 27, 2021","10,728,098",196.72,"26,526","10,728,098","4,712,717",86.41%,"4,619,304",84.70%
"Nov 26, 2021","10,701,572",196.23,"30,255","10,701,572","4,711,792",86.40%,"4,617,000",84.66%
"Nov 25, 2021","10,671,317",195.67,"17,134","10,671,317","4,710,486",86.37%,"4,613,832",84.60%
"Nov 24, 2021","10,654,183",195.36,"17,165","10,654,183","4,709,343",86.35%,"4,611,978",84.57%
