date,new_cases,imported,local,reproduction_rate
28/2/20,1,1,0,
29/2/20,0,0,0,
1/3/20,0,0,0,
2/3/20,0,0,0,
3/3/20,0,0,0,
4/3/20,2,1,0,
5/3/20,0,0,1,
6/3/20,1,1,0,
7/3/20,1,0,1,
8/3/20,0,0,0,
9/3/20,0,0,0,
10/3/20,0,0,0,
11/3/20,0,0,0,
12/3/20,0,0,0,
13/3/20,0,0,0,
14/3/20,1,0,0,
15/3/20,2,1,0,
16/3/20,0,2,0,
17/3/20,4,0,0,
18/3/20,8,4,0,
19/3/20,8,8,0,
20/3/20,11,0,11,
21/3/20,13,0,13,
22/3/20,50,0,14,
23/3/20,0,0,36,1.88
24/3/20,53,0,40,1.89
25/3/20,50,0,47,1.88
26/3/20,78,0,73,1.84
27/3/20,85,0,76,1.79
28/3/20,83,0,78,1.72
29/3/20,63,0,63,1.64
30/3/20,75,0,76,1.57
31/3/20,58,0,48,1.49
1/4/20,61,0,47,1.42
2/4/20,89,0,76,1.36
3/4/20,71,0,49,1.3
4/4/20,82,0,52,1.23
5/4/20,89,0,48,1.17
6/4/20,67,0,39,1.1
7/4/20,54,0,32,1.03
8/4/20,50,0,26,0.96
9/4/20,29,0,23,0.9
10/4/20,44,0,26,0.84
11/4/20,29,0,20,0.79
12/4/20,18,0,18,0.75
13/4/20,19,0,15,0.7
14/4/20,17,0,17,0.66
15/4/20,20,0,6,0.63
16/4/20,15,0,6,0.59
17/4/20,8,0,2,0.56
18/4/20,13,0,8,0.54
19/4/20,9,0,4,0.52
20/4/20,9,0,7,0.5
21/4/20,5,0,2,0.47
22/4/20,6,0,6,0.46
23/4/20,5,0,2,0.44
24/4/20,5,0,2,0.43
25/4/20,9,0,3,0.42
26/4/20,0,0,4,0.41
27/4/20,3,0,1,0.4
28/4/20,2,0,2,0.39
29/4/20,2,0,2,0.39
30/4/20,3,0,3,0.39
1/5/20,6,1,2,0.39
2/5/20,2,0,2,0.38
3/5/20,0,0,2,0.37
4/5/20,0,0,0,0.38
5/5/20,2,0,0,0.38
6/5/20,1,0,1,0.38
7/5/20,1,0,1,0.38
8/5/20,2,0,2,0.38
9/5/20,2,0,1,0.39
10/5/20,3,1,1,0.39
11/5/20,0,1,2,0.38
12/5/20,0,0,0,0.37
13/5/20,0,0,0,0.37
14/5/20,1,0,0,0.37
15/5/20,0,0,1,0.38
16/5/20,1,0,0,0.39
17/5/20,0,0,1,0.4
18/5/20,0,0,0,0.41
19/5/20,4,0,0,0.43
20/5/20,0,0,0,0.39
21/5/20,1,0,0,0.37
22/5/20,0,0,1,0.33
23/5/20,0,0,0,0.3
24/5/20,0,0,0,0.28
25/5/20,0,0,0,0.26
26/5/20,0,0,0,0.24
27/5/20,0,0,0,0.23
28/5/20,0,0,0,0.22
29/5/20,0,0,0,0.22
30/5/20,0,0,0,0.21
31/5/20,0,0,0,0.22
1/6/20,0,0,0,0.22
2/6/20,0,0,0,0.23
3/6/20,0,0,0,0.24
4/6/20,0,0,0,0.25
5/6/20,0,0,0,0.27
6/6/20,0,0,0,0.29
7/6/20,0,0,0,0.32
8/6/20,0,0,0,0.35
9/6/20,0,0,0,0.39
10/6/20,0,0,0,0.43
11/6/20,0,0,0,0.48
12/6/20,0,0,0,0.54
13/6/20,0,0,0,0.6
14/6/20,0,0,0,0.68
15/6/20,2,0,0,0.76
16/6/20,0,2,0,0.85
17/6/20,1,0,0,0.95
18/6/20,0,1,0,1.01
19/6/20,2,0,0,1.08
20/6/20,2,2,0,1.16
21/6/20,2,2,0,1.2
22/6/20,2,2,0,1.21
23/6/20,1,2,0,1.21
24/6/20,3,1,0,1.22
25/6/20,1,3,0,1.2
26/6/20,2,1,0,1.19
27/6/20,4,2,0,1.17
28/6/20,2,4,0,1.14
29/6/20,0,2,0,1.09
30/6/20,0,0,0,1.07
1/7/20,2,0,0,1.06
2/7/20,0,2,0,1.05
