Day,Dorm Residents,Non-dorm work permit holders,Community,Total Community,Imported,Total,New recoveries,New deaths,Active cases,In ICU,Total deaths,Total recovered,Total cases
32,0,0,0,0,2,2,0,0,18,0,0,0,18
33,0,0,0,0,0,0,0,0,18,0,0,0,18
34,0,0,0,0,0,0,0,0,18,0,0,0,18
35,0,0,4,4,2,6,0,0,24,0,0,0,24
36,0,0,3,3,1,4,0,0,28,0,0,0,28
37,0,0,2,2,0,2,0,0,30,1,0,0,30
38,0,0,3,3,0,3,0,0,33,2,0,0,33
39,0,0,7,7,0,7,2,0,38,4,0,2,40
40,0,0,3,3,0,3,4,0,37,6,0,6,43
41,0,0,1,1,1,2,1,0,38,7,0,7,45
42,0,0,2,2,0,2,2,0,38,7,0,9,47
43,0,0,3,3,0,3,6,0,35,8,0,15,50
44,0,0,8,8,0,8,0,0,43,7,0,15,58
45,0,0,9,9,0,9,2,0,50,6,0,17,67
46,0,0,5,5,0,5,1,0,54,6,0,18,72
47,0,0,3,3,0,3,1,0,56,5,0,19,75
48,0,0,1,1,1,2,5,0,53,4,0,24,77
49,0,0,4,4,0,4,5,0,52,4,0,29,81
50,0,0,3,3,0,3,5,0,50,4,0,34,84
51,0,0,1,1,0,1,3,0,48,4,0,37,85
52,0,0,1,1,0,1,10,0,39,5,0,47,86
53,0,0,2,2,1,3,2,0,40,5,0,49,89
54,0,0,0,0,0,0,2,0,38,5,0,51,89
55,0,0,1,1,0,1,2,0,37,7,0,53,90
56,0,0,1,1,0,1,5,0,33,7,0,58,91
57,0,0,2,2,0,2,4,0,31,7,0,62,93
58,0,0,3,3,0,3,4,0,30,8,0,66,96
59,0,0,2,2,0,2,3,0,29,7,0,69,98
60,0,0,4,4,0,4,3,0,30,7,0,72,102
61,0,0,4,4,0,4,2,0,32,7,0,74,106
62,0,0,2,2,0,2,4,0,30,6,0,78,108
63,0,0,2,2,0,2,0,0,32,7,0,78,110
64,0,0,2,2,0,2,1,0,33,7,0,79,112
65,0,0,4,4,1,5,2,0,36,7,0,81,117
66,0,0,11,11,2,13,1,0,48,9,0,82,130
67,0,0,6,6,2,8,8,0,48,8,0,90,138
68,0,0,11,11,1,12,0,0,60,9,0,90,150
69,0,0,7,7,3,10,3,0,67,10,0,93,160
70,0,0,6,6,0,6,0,0,73,12,0,93,166
71,0,0,12,12,0,12,3,0,82,9,0,96,178
72,0,0,4,4,5,9,0,0,91,9,0,96,187
73,0,0,4,4,9,13,1,0,103,11,0,97,200
74,0,0,3,3,9,12,8,0,107,14,0,105,212
75,0,0,5,5,9,14,0,0,121,13,0,105,226
76,0,0,6,6,11,17,4,0,134,13,0,109,243
77,0,0,6,6,17,23,5,0,152,14,0,114,266
78,0,0,14,14,33,47,3,0,196,15,0,117,313
79,0,0,8,8,24,32,5,0,221,15,0,124,345
80,0,0,12,12,28,40,7,0,254,16,0,131,385
81,0,0,8,8,39,47,9,2,290,14,2,140,432
82,0,0,5,5,18,23,4,0,309,14,2,144,455
83,0,0,6,6,48,54,8,0,355,15,2,152,509
84,0,0,17,17,32,49,3,0,401,17,2,155,558
85,0,0,35,35,38,73,5,0,469,17,2,160,631
86,1,0,23,23,28,52,12,0,509,18,2,172,683
87,1,0,26,26,22,49,11,0,547,17,2,183,732
88,1,0,28,28,41,70,15,0,602,19,2,198,802
89,2,0,16,16,24,42,14,1,629,19,3,212,844
90,5,0,21,21,9,35,16,0,648,19,3,228,879
91,6,0,25,25,16,47,12,0,683,22,3,240,926
92,13,3,39,42,19,74,5,1,752,24,3,245,"1,000"
93,8,4,29,33,8,49,21,1,779,23,4,266,"1,049"
94,22,5,29,34,9,65,16,1,827,25,5,282,"1,114"
95,27,9,32,41,7,75,15,1,886,26,6,297,"1,189"
96,58,15,43,58,4,120,23,0,983,25,6,320,"1,309"
97,34,7,24,31,1,66,24,0,"1,025",25,6,344,"1,375"
98,57,8,38,46,3,106,33,0,"1,098",29,6,377,"1,481"
99,74,8,58,66,2,142,29,0,"1,211",29,6,406,"1,623"
100,228,11,45,56,3,287,54,0,"1,443",29,6,461,"1,910"
101,141,16,41,57,0,198,30,1,"1,609",32,7,492,"2,108"
102,152,12,27,39,0,191,36,1,"1,763",31,8,528,"2,299"
103,188,19,26,45,0,233,32,0,"1,964",31,8,560,"2,532"
104,334,14,38,52,0,386,26,1,"2,323",29,9,586,"2,918"
105,275,19,40,59,0,334,25,1,"2,631",28,10,611,"3,252"
106,406,4,37,41,0,447,40,0,"3,036",26,10,653,"3,699"
107,676,26,26,52,0,728,31,0,"3,734",23,10,683,"4,427"
108,562,34,26,60,1,623,23,1,"4,336",22,11,703,"5,050"
109,893,27,22,49,0,942,34,0,"5,244",23,11,737,"5,992"
110,548,18,30,48,0,596,26,0,"5,814",22,11,763,"6,588"
111,"1,371",30,25,55,0,"1,426",24,0,"7,216",23,11,787,"8,014"
112,"1,050",33,28,61,0,"1,111",38,0,"8,289",27,11,825,"9,125"
113,967,32,17,49,0,"1,016",57,1,"9,247",25,12,882,"10,141"
114,982,30,25,55,0,"1,037",16,0,"10,248",26,12,918,"11,178"
115,853,19,25,44,0,897,38,0,"11,107",24,12,956,"12,075"
116,597,12,9,21,0,618,46,0,"11,679",24,12,"1,002","12,693"
117,886,21,17,38,2,931,58,0,"12,552",22,12,"1,060","13,624"
118,764,8,18,26,0,799,35,2,"13,314",20,14,"1,095","14,423"
119,511,4,10,14,0,528,33,0,"13,809",21,14,"1,128","14,951"
120,660,16,11,27,0,690,60,0,"14,439",22,14,"1,188","15,641"
