Date,Dorm Residents,Community,Imported,Total,New recoveries,New deaths,Active cases,In ICU,Total deaths,Total recovered,Total cases
1,0,3,27,30,10,0,141,1,29,"58,459","58,629"
2,0,0,33,33,17,0,157,1,29,"58,476","58,662"
3,0,0,35,35,11,0,181,1,29,"58,487","58,697"
4,0,0,24,24,10,0,195,1,29,"58,497","58,721"
5,0,2,26,28,20,0,203,1,29,"58,517","58,749"
6,0,2,29,31,24,0,210,1,29,"58,541","58,780"
7,0,2,31,33,21,0,222,1,29,"58,562","58,813"
8,0,2,21,23,18,0,227,1,29,"58,580","58,836"
9,0,0,29,29,31,0,225,1,29,"58,611","58,865"
10,0,0,42,42,25,0,242,1,29,"58,636","58,907"
11,0,0,22,22,32,0,232,1,29,"58,668","58,929"
12,0,0,17,17,26,0,223,1,29,"58,694","58,946"
13,1,0,37,38,28,0,233,1,29,"58,722","58,984"
14,0,1,44,45,35,0,243,0,29,"58,757","59,029"
15,0,1,29,30,14,0,259,0,29,"58,771","59,059"
16,1,4,19,24,13,0,270,0,29,"58,784","59,083"
17,0,2,28,30,62,0,238,0,29,"58,846","59,113"
18,0,2,12,14,22,0,230,0,29,"58,868","59,127"
19,0,4,26,30,26,0,234,0,29,"58,894","59,157"
20,0,4,36,40,32,0,242,1,29,"58,926","59,197"
21,0,4,34,38,33,0,247,1,29,"58,959","59,235"
22,0,1,14,15,24,0,238,1,29,"58,983","59,250"
23,0,0,10,10,32,0,216,0,29,"59,015","59,260"
24,0,0,48,48,26,0,238,0,29,"59,041","59,308"
25,0,0,44,44,25,0,257,0,29,"59,066","59,352"
26,0,0,14,14,20,0,251,0,29,"59,086","59,366"
27,0,0,25,25,18,0,258,0,29,"59,104","59,391"
28,0,0,34,34,44,0,248,0,29,"59,148","59,425"
29,0,0,24,24,33,0,239,0,29,"59,181","59,449"
30,0,3,55,58,15,0,282,0,29,"59,196","59,507"
31,0,0,29,29,32,0,279,0,29,"59,228","59,536"
1,0,0,29,29,43,0,265,0,29,"59,271","59,565"
2,0,0,19,19,30,0,254,0,29,"59,301","59,584"
3,0,0,18,18,19,0,253,0,29,"59,320","59,602"
4,0,0,22,22,28,0,247,0,29,"59,348","59,624"
5,1,1,23,25,25,0,247,1,29,"59,373","59,649"
6,0,0,26,26,32,0,241,1,29,"59,405","59,675"
7,0,1,23,24,28,0,237,1,29,"59,433","59,699"
8,0,2,20,22,51,0,208,1,29,"59,484","59,721"
9,0,0,11,11,22,0,197,1,29,"59,506","59,732"
10,1,0,14,15,20,0,192,1,29,"59,526","59,747"
11,0,3,9,12,32,0,172,1,29,"59,558","59,759"
12,0,2,16,18,11,0,179,1,29,"59,569","59,777"
13,0,0,9,9,35,0,153,1,29,"59,604","59,786"
14,0,0,14,14,17,0,150,1,29,"59,621","59,800"
15,0,0,9,9,20,0,139,1,29,"59,641","59,809"
16,0,0,1,1,20,0,120,1,29,"59,661","59,810"
17,0,1,10,11,15,0,116,1,29,"59,676","59,821"
18,0,0,11,11,3,0,124,1,29,"59,679","59,832"
19,0,0,14,14,18,0,120,1,29,"59,697","59,846"
20,0,0,12,12,22,0,110,1,29,"59,719","59,858"
21,0,0,11,11,12,0,109,1,29,"59,731","59,869"
22,0,1,9,10,15,0,104,1,29,"59,746","59,879"
23,1,0,3,4,7,0,101,1,29,"59,753","59,883"
24,0,1,6,7,8,0,100,1,29,"59,761","59,890"
25,0,2,8,10,24,0,86,1,29,"59,785","59,900"
26,0,0,13,13,18,0,81,1,29,"59,803","59,913"
27,0,0,12,12,13,0,80,1,29,"59,816","59,925"
28,1,0,10,11,7,0,84,1,29,"59,823","59,936"
1,0,0,12,12,7,0,89,1,29,"59,830","59,948"
2,0,0,8,8,12,0,85,1,29,"59,842","59,956"
3,0,2,21,23,7,0,101,1,29,"59,849","59,979"
4,0,1,18,19,8,0,112,1,29,"59,857","59,998"
5,0,0,9,9,13,0,108,1,29,"59,870","60,007"
6,0,0,13,13,9,0,112,1,29,"59,879","60,020"
7,0,0,13,13,15,0,110,1,29,"59,894","60,033"
8,0,0,13,13,6,0,117,1,29,"59,900","60,046"
9,0,0,6,6,5,0,118,1,29,"59,905","60,052"
10,0,0,10,10,6,0,122,1,29,"59,911","60,062"
11,0,1,7,8,28,0,102,1,29,"59,939","60,070"
12,0,0,10,10,11,0,101,1,29,"59,950","60,080"
13,0,0,8,8,11,1,97,0,30,"59,961","60,088"
14,0,0,17,17,7,0,107,0,30,"59,968","60,105"
15,0,0,12,12,6,0,113,0,30,"59,974","60,117"
16,0,0,11,11,10,0,114,0,30,"59,984","60,128"
17,0,0,9,9,17,0,106,0,30,"60,001","60,137"
18,0,0,15,15,13,0,108,0,30,"60,014","60,152"
19,0,0,15,15,5,0,118,0,30,"60,019","60,167"
20,0,0,17,17,3,0,132,0,30,"60,022","60,184"
21,0,0,12,12,16,0,128,0,30,"60,038","60,196"
22,0,0,12,12,13,0,127,0,30,"60,051","60,208"
23,0,0,13,13,12,0,128,0,30,"60,063","60,221"
24,0,0,15,15,15,0,128,0,30,"60,078","60,236"
25,0,0,17,17,8,0,137,0,30,"60,086","60,253"
26,0,0,12,12,17,0,132,1,30,"60,103","60,265"
27,0,0,23,23,10,0,145,1,30,"60,113","60,288"
28,0,0,12,12,9,0,148,1,30,"60,122","60,300"
29,0,0,21,21,9,0,160,1,30,"60,131","60,321"
30,0,0,26,26,7,0,179,1,30,"60,138","60,347"
31,0,0,34,34,11,0,202,1,30,"60,149","60,381"
1,0,0,26,26,12,0,216,1,30,"60,161","60,407"
2,0,0,43,43,15,0,244,1,30,"60,176","60,450"
3,0,0,18,18,9,0,253,1,30,"60,185","60,468"
4,0,0,10,10,17,0,246,1,30,"60,202","60,478"
5,0,0,17,17,12,0,251,1,30,"60,214","60,495"
6,0,0,24,24,25,0,250,1,30,"60,239","60,519"
7,0,1,34,35,21,0,264,1,30,"60,260","60,554"
8,0,0,21,21,24,0,261,1,30,"60,284","60,575"
9,0,0,26,26,20,0,267,1,30,"60,304","60,601"
10,0,0,32,32,18,0,281,1,30,"60,322","60,633"
11,1,0,19,20,13,0,288,1,30,"60,335","60,653"
12,0,0,25,25,22,0,291,1,30,"60,357","60,678"
13,0,0,14,14,17,0,288,1,30,"60,374","60,692"
14,0,1,26,27,18,0,297,2,30,"60,392","60,719"
15,0,0,16,16,25,0,288,2,30,"60,417","60,735"
16,0,1,33,34,29,0,293,2,30,"60,446","60,769"
17,0,4,35,39,17,0,315,2,30,"60,463","60,808"
18,0,1,22,23,22,0,316,2,30,"60,485","60,831"
19,0,1,19,20,18,0,318,1,30,"60,503","60,851"
20,1,0,13,14,37,0,295,1,30,"60,540","60,865"
21,0,0,15,15,36,0,274,1,30,"60,576","60,880"
22,1,1,22,24,27,0,271,1,30,"60,603","60,904"
23,1,0,38,39,10,0,300,1,30,"60,613","60,943"
24,0,5,18,23,16,0,307,1,30,"60,629","60,966"
25,0,0,40,40,33,0,314,1,30,"60,662","61,006"
26,1,1,43,45,20,0,339,0,30,"60,682","61,051"
27,0,1,11,12,22,0,329,0,30,"60,704","61,063"
28,0,2,21,23,14,0,338,0,30,"60,718","61,086"
29,0,16,19,35,20,0,353,0,30,"60,738","61,121"
30,0,8,16,24,13,0,364,0,30,"60,751","61,145"
1,2,7,25,34,14,1,383,0,31,"60,765","61,179"
2,0,13,26,39,21,0,401,0,31,"60,786","61,218"
3,0,10,7,17,20,0,398,0,31,"60,806","61,235"
4,0,5,12,17,17,0,398,2,31,"60,823","61,252"
5,0,1,15,16,21,0,393,2,31,"60,844","61,268"
6,0,2,16,18,29,0,382,1,31,"60,873","61,286"
7,0,4,21,25,33,0,374,2,31,"60,906","61,311"
8,0,7,13,20,6,0,388,2,31,"60,912","61,331"
9,0,10,18,28,21,0,395,2,31,"60,933","61,359"
10,0,3,16,19,20,0,394,3,31,"60,953","61,378"
11,0,13,12,25,22,0,397,3,31,"60,975","61,403"
12,0,10,6,16,31,0,382,3,31,"61,006","61,419"
13,0,24,10,34,23,0,393,3,31,"61,029","61,453"
14,0,24,28,52,18,0,427,3,31,"61,047","61,505"
15,0,19,12,31,15,0,443,3,31,"61,062","61,536"
16,0,38,11,49,42,0,450,2,31,"61,104","61,585"
17,0,21,7,28,19,0,459,3,31,"61,123","61,613"
18,0,27,11,38,11,0,486,5,31,"61,134","61,651"
19,0,34,4,38,49,0,475,5,31,"61,183","61,689"
20,0,27,14,41,46,1,469,4,32,"61,229","61,730"
21,0,30,10,40,13,0,496,4,32,"61,242","61,770"
22,0,22,7,29,35,0,490,5,32,"61,277","61,799"
23,1,21,3,25,17,0,498,3,32,"61,294","61,824"
24,0,24,12,36,22,0,512,3,32,"61,316","61,860"
25,3,18,9,30,13,0,529,2,32,"61,329","61,890"
26,1,23,2,26,31,0,524,2,32,"61,360","61,916"
27,1,14,9,24,12,0,536,2,32,"61,372","61,940"
28,0,15,15,30,35,0,531,3,32,"61,407","61,970"
29,0,23,10,33,16,0,548,3,32,"61,423","62,003"
30,0,19,6,25,11,1,561,3,33,"61,434","62,028"
31,0,16,7,23,25,0,559,2,33,"61,459","62,051"
1,0,15,3,18,22,0,555,2,33,"61,481","62,069"
2,0,24,7,31,42,0,544,2,33,"61,523","62,100"
3,0,35,10,45,34,0,555,2,33,"61,557","62,145"
4,0,7,6,13,23,0,545,2,33,"61,580","62,158"
5,0,12,6,18,33,0,530,2,33,"61,613","62,176"
6,0,6,14,20,22,0,528,2,33,"61,635","62,196"
7,0,5,9,14,25,0,517,2,33,"61,660","62,210"
8,1,3,5,9,42,1,483,2,34,"61,702","62,219"
9,0,2,2,4,38,0,449,1,34,"61,740","62,223"
10,0,4,9,13,25,0,437,1,34,"61,765","62,236"
11,0,3,6,9,34,0,412,1,34,"61,799","62,245"
12,0,9,9,18,39,0,391,1,34,"61,838","62,263"
13,0,10,3,13,31,0,373,1,34,"61,869","62,276"
14,1,18,6,25,25,0,373,2,34,"61,894","62,301"
15,0,14,0,14,17,0,370,2,34,"61,911","62,315"
16,0,19,5,24,20,0,374,1,34,"61,931","62,339"
17,0,20,7,27,29,0,372,1,34,"61,960","62,366"
18,0,14,2,16,27,0,361,1,34,"61,987","62,382"
19,0,14,7,21,36,0,346,1,34,"62,023","62,403"
20,0,9,2,11,19,0,338,1,34,"62,042","62,414"
21,0,13,3,16,28,1,325,0,35,"62,070","62,430"
22,0,15,3,18,28,0,315,2,35,"62,098","62,448"
23,0,13,9,22,15,0,322,5,35,"62,113","62,470"
24,0,14,9,23,27,0,318,4,35,"62,140","62,493"
25,0,15,5,20,21,0,317,4,35,"62,161","62,513"
26,0,13,4,17,20,1,313,4,36,"62,181","62,530"
27,0,12,2,14,14,0,313,4,36,"62,195","62,544"
28,0,4,5,9,17,0,305,3,36,"62,212","62,553"
29,0,5,5,10,7,0,308,3,36,"62,219","62,563"
30,0,5,11,16,9,0,315,4,36,"62,228","62,579"
1,0,4,6,10,6,0,319,3,36,"62,234","62,589"
2,0,3,7,10,16,0,313,2,36,"62,250","62,599"
